Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF,21.0,MIA,35,2,491,84,145,0.5793,0,0,0.0,84,145,0.5793,44,81,0.5432,46,95,141,20,15,19,32,58,212
2,Jaylen Adams,PG,24.0,MIL,7,0,18,1,8,0.125,0,2,0.0,1,6,0.1667,0,0,0.0,0,3,3,2,0,0,0,1,2
3,Steven Adams,C,27.0,NOP,33,33,918,115,187,0.615,0,1,0.0,115,186,0.6183,35,79,0.443,133,161,294,69,29,20,50,63,265
4,Bam Adebayo,C,23.0,MIA,33,33,1119,236,419,0.5632,2,6,0.3333,234,413,0.5666,160,189,0.8466,72,241,313,179,29,34,98,80,634
5,LaMarcus Aldridge,C,35.0,SAS,21,18,544,115,248,0.4637,27,75,0.36,88,173,0.5087,31,37,0.8378,17,77,94,36,8,18,20,36,288
6,Ty-Shon Alexander,SG,22.0,PHO,3,0,8,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0
7,Nickeil Alexander-Walker,SG,22.0,NOP,28,3,495,86,211,0.4076,30,98,0.3061,56,113,0.4956,28,35,0.8,5,61,66,54,28,9,32,44,230
8,Grayson Allen,SG,25.0,MEM,23,12,551,67,164,0.4085,46,113,0.4071,21,51,0.4118,34,38,0.8947,8,57,65,50,23,3,21,30,214
9,Jarrett Allen,C,22.0,TOT,35,17,977,172,257,0.6693,4,8,0.5,168,249,0.6747,123,166,0.741,111,235,346,60,16,59,54,55,471
9,Jarrett Allen,C,22.0,BRK,12,5,320,44,65,0.6769,0,0,0.0,44,65,0.6769,46,61,0.7541,38,87,125,20,7,19,22,21,134
9,Jarrett Allen,C,22.0,CLE,23,12,657,128,192,0.6667,4,8,0.5,124,184,0.6739,77,105,0.7333,73,148,221,40,9,40,32,34,337
10,Al-Farouq Aminu,PF,30.0,ORL,9,6,163,17,43,0.3953,6,15,0.4,11,28,0.3929,7,9,0.7778,9,28,37,15,8,5,10,9,47
11,Kyle Anderson,PF,27.0,MEM,30,30,829,146,306,0.4771,46,121,0.3802,100,185,0.5405,64,84,0.7619,28,155,183,105,36,21,46,54,402
12,Giannis Antetokounmpo,PF,26.0,MIL,35,35,1189,368,661,0.5567,39,137,0.2847,329,524,0.6279,240,363,0.6612,64,344,408,205,44,49,128,106,1015
13,Kostas Antetokounmpo,PF,23.0,LAL,3,0,19,1,3,0.3333,0,0,0.0,1,3,0.3333,1,2,0.5,2,6,8,0,1,2,5,3,3
14,Thanasis Antetokounmpo,SF,28.0,MIL,26,0,227,26,43,0.6047,2,9,0.2222,24,34,0.7059,6,13,0.4615,26,29,55,18,8,6,19,33,60
15,Carmelo Anthony,PF,36.0,POR,34,3,870,166,402,0.4129,60,155,0.3871,106,247,0.4291,80,95,0.8421,19,94,113,50,31,27,35,72,472
16,Cole Anthony,PG,20.0,ORL,25,17,667,101,269,0.3755,27,83,0.3253,74,186,0.3978,46,55,0.8364,20,91,111,94,17,11,51,51,275
17,OG Anunoby,SF,23.0,TOR,23,23,769,114,238,0.479,49,124,0.3952,65,114,0.5702,40,53,0.7547,33,99,132,38,37,17,38,64,317
18,Ryan Arcidiacono,PG,26.0,CHI,18,0,198,21,50,0.42,11,32,0.3438,10,18,0.5556,8,9,0.8889,2,31,33,23,5,0,4,16,61
